      male     female
       3.0        3.0 --         جرسْ الءنْذار ضرب. 
       0.0        4.0 --         جرّبْ العباية دي! 
       3.0        5.0 --         جرّبْت علاجاتْ كتيْرةْ. 
       0.0        4.0 --         جرّوا الْعربيهْ. 
       3.0        6.0 --         جزلانهْ وقعْ منّهْ. 
       1.0        4.0 --         جسمي مسخّنْ. 
       3.0        5.0 --         جماعة هجموا عليْهم. 
       3.0        3.0 --         جمال بيْعْزفْ النّاي. 
       3.0        5.0 --         جنوب السّودان سّمح. 
       1.0        4.0 --         جنْسيتك شنو؟ 
       3.0        7.0 --         جهازْ الرّادْيو شغالْ. 
       3.0        6.0 --         جو الْخرْطوم سخن. 
       0.0        4.0 --         جوابك وصل. 
       3.0        5.0 --         جواز سفره سوداني. 
       3.0        5.0 --         جواز سفره منتهي. 
       3.0        5.0 --         جوازو ضاعْ منه. 
       1.0        4.0 --         جوازي ءجنبي. 
       3.0        5.0 --         جوازي صالح للسفر. 
       3.0        5.0 --         جوازْ سفره سوداني. 
       0.0        4.0 --         جوّالي دا جديد. 
       0.0        4.0 --         جوْ النّيل رهيبْ. 
       3.0        7.0 --         جيب معاك صورة شخصيّة. 
       1.0        4.0 --         جيبك مليان قروش. 
       0.0        4.0 --         جيبي الفطور. 
       0.0        4.0 --         جيبْ الصينية. 
       0.0        4.0 --         جيبْ القفّة. 
       3.0        6.0 --         جيبْ الْهويّة منْ فضْلكْ! 
       3.0        7.0 --         جيبْ صبْغهْ لشّعرْ. 
       3.0        6.0 --         جيبْ صينيّة الغدا. 
       0.0        4.0 --         جيبْ عيْش كمان. 
       3.0        5.0 --         جيبْ ليْنا لحومْ مشْوية. 
       3.0        3.0 --         جيت من مكْتب القبول. 
       3.0        2.0 --         جيتْ حوالي الساعة كمْ؟ 
       0.0        4.0 --         جيتْ كيْف؟ 
       0.0        4.0 --         جيتْ منْ ويْن؟ 
       1.0        4.0 --         جيْرانّا كْويْسين. 
       3.0        5.0 --         حءجهّزْ الءكلْ. 
       3.0        7.0 --         حءجي على ءى حال. 
       3.0        7.0 --         حءجيك لمّا ءفْضى. 
       3.0        7.0 --         حءحْجز ءبْتداء منْ بكْرة. 
       3.0        3.0 --         حءدفع حسب قدرتي. 
       3.0        5.0 --         حءدفعْ بالءقساطْ. 
       3.0        5.0 --         حءدْفعْ ليْه بقْشيشْ. 
       3.0        3.0 --         حءسافر يوم الءحدْ. 
       3.0        7.0 --         حءسافرْ الخرْطوم بءذْن الله. 
       3.0        6.0 --         حءصلْ اللّيْلة ءنْ شاء الله. 
       3.0        5.0 --         حءعملْ فحصْ بكْرهْ. 
       1.0        4.0 --         حءعْمل نفْس الشي. 
       3.0        6.0 --         حءفتح فيك بلاغ! 
       3.0        5.0 --         حءقْعد لمدة شهْر. 
       1.0        4.0 --         حءنْتظرك هنْاك. 
       3.0        7.0 --         حءنْزل على حسْاب الشركة. 
       3.0        5.0 --         حارسّلهْ يقرا برّه. 
       1.0        4.0 --         حارْسْ البوّابة نايمْ! 
       3.0        5.0 --         حاسّي بصْداعْ فظيْعْ. 
       1.0        4.0 --         حاسّي بصْداعْ. 
       3.0        5.0 --         حاصل شنو يا ءخوانا؟ 
       3.0        3.0 --         حاضرْ سيادْتكْ! 
       1.0        4.0 --         حاضرْ فنْدّم! 
       3.0        3.0 --         حاضرْ يا جنابو. 
       1.0        4.0 --         حامْشي مع الشلّة. 
       0.0        4.0 --         حاول يءثّر عليو. 
       0.0        4.0 --         حبابْكمْ عشرة. 
       0.0        4.0 --         حبّوْبتي نايمة. 
       1.0        4.0 --         حتءجلوا السّفر؟ 
       3.0        5.0 --         حتاخدْ ليها يومْ يومينْ. 
       3.0        5.0 --         حتاخدْ وكتْ طويلْ؟ 
       1.0        4.0 --         حتجري لحد ويْن؟ 
       3.0        6.0 --         حتدفع رسوم ءضافيّة. 
       3.0        6.0 --         حتدفعوا المبْلغ الكامل؟ 
       3.0        5.0 --         حترْكبوْ شْنوْ؟ركْشهْ؟ 
       1.0        4.0 --         حتقعدوا كمْ يوم؟ 
       3.0        5.0 --         حتقْعدوا جنب بعضْ؟ 
       0.0        4.0 --         حتكتبْ ليْ دوا؟ 
       3.0        7.0 --         حتلْقى يوسفْ هناكْ. 
       0.0        4.0 --         حتْسافرْ متيْن؟ 
       1.0        4.0 --         حجزت للسفر؟ 
       0.0        4.0 --         حجزتواْ ؟ 
       3.0        7.0 --         حجزْ غرْفة في الفنْدق. 
       0.0        4.0 --         حجْ مباركْ. 
       3.0        5.0 --         حدايقْ القرشي واسْعة. 
       3.0        6.0 --         حدود السّوْدانْ مع مصرْ. 
       3.0        5.0 --         حدّ السّرْعهْ هنا كمْ؟ 
       3.0        4.0 --         حرارتهْ الليلهْ عاليهْ. 
       3.0        6.0 --         حرارْته اْنْخفضتْ. 
       3.0        6.0 --         حرارْته مرْتفْعة شْويّة. 
       3.0        6.0 --         حزامْ بنطلونه بنّي. 
       3.0        5.0 --         حسابي في فرع الخرطوم. 
       1.0        4.0 --         حسن شالْ قروشي. 
       0.0        4.0 --         حسن فات السوق. 
       3.0        7.0 --         حسن متْخصّصْ في مجاله. 
       3.0        5.0 --         حسن مدير شركة ترْحيلْ. 
       3.0        6.0 --         حسن معْزوم غدا. 
       3.0        7.0 --         حسن نجح في الرياضيّات الءوّلية. 
       3.0        5.0 --         حسن وزنه زاد. 
       3.0        6.0 --         حسنْ بيطْلبْ ءجازة. 
       3.0        7.0 --         حسنْ توفى السّنة الفاتتْ، الله يرْحمه. 
       3.0        7.0 --         حسنْ قاعدْ على الكرْسي. 
       1.0        4.0 --         حصة الكيميا مْتين؟ 
       3.0        7.0 --         حصلْ تعديلْ في الْخطّهْ. 
       3.0        3.0 --         حصلْ حريْقْ كبيْر. 
       3.0        7.0 --         حضرت محاضرة تمام! 
       3.0        5.0 --         حضرنا المهْرجان. 
       3.0        6.0 --         حضرْت عقدْ الزواج؟ 
       0.0        4.0 --         حظّكْ كويّسْ. 
       3.0        5.0 --         حفْلة عيدْ ميلادي بكْرة. 
       3.0        5.0 --         حقّقْ معاهمْ في الْحادثْ. 
       3.0        5.0 --         حكوْمْة السّوْدانْ كعبة. 
       3.0        5.0 --         حلقت شعري بالمقص. 
       3.0        5.0 --         حماتي جات في زْيارة. 
       3.0        5.0 --         حمانا الله منْ الءمْراضْ. 
       3.0        5.0 --         حمولْة العربية تقيلة. 
       3.0        7.0 --         حناخد لينا رحلة لي دبى. 
       3.0        7.0 --         حنتْعلّم لغة اجْنبيّة. 
       3.0        5.0 --         حنتْقابلْ في الرّجْعهْ. 
       3.0        7.0 --         حنحْضرْ حفْلة راس السّنة. 
       3.0        7.0 --         حنستحمّ ونغيّر هدومْنا. 
       3.0        5.0 --         حنطْلعْ رحلهْ بكْرهْ. 
       3.0        7.0 --         حنفيّة الموية شغالة. 
       3.0        5.0 --         حنقيف في الطّابور. 
       3.0        5.0 --         حنقْرا ونرتاح بعْديْن. 
       3.0        3.0 --         حنقْعد في شقّة. 
       3.0        7.0 --         حنقْعدْ مع بعضضْ. 
       3.0        7.0 --         حنمْشي نْقضّي الصّيفْ. 
       3.0        7.0 --         حننمشي نزْهة على النيلْ. 
       3.0        5.0 --         حنوفّرْ المواصلات للعمال. 
       3.0        5.0 --         حنْجهّزْ للْحفْلة. 
       3.0        4.0 --         حنْستءجْر لينا شقة. 
       3.0        6.0 --         حنْلقى لينا شقة؟ 
       0.0        4.0 --         حوالي كمْ يعْني؟ 
       0.0        4.0 --         حوش البيت كبير. 
       3.0        7.0 --         حوض الغسيل مليان عدّة. 
       3.0        5.0 --         حوّل لى قروش. 
       0.0        4.0 --         حوْش بيْتنا كبير. 
       3.0        5.0 --         حيازة السلاح ممنوعة. 
       3.0        5.0 --         حيتْقاسمْ معاه الرّبحْ. 
       3.0        5.0 --         حيجي بعد نص ساعة. 
       3.0        5.0 --         حيجي بعدْ خمْسين يوْم. 
       3.0        4.0 --         حيجي عشْرة شوكة. 
       0.0        4.0 --         حيجي؟ الله ءعْلم. 
       3.0        6.0 --         حيشرف على رسالتي. 
       3.0        6.0 --         حيطّة البيت طوب بلك. 
       3.0        5.0 --         حيطْعنوه حقْنة. 
       3.0        7.0 --         حيعْملوا كورنيش على النيْل. 
       3.0        6.0 --         حيلغوا حجزك؟ 
       3.0        7.0 --         حيمضى عقْد الءيجارْ! 
       3.0        5.0 --         حيمْرضوا من البردْ. 
       0.0        4.0 --         حيمْشوا بكْرة. 
       3.0        3.0 --         حيْطة بيتنا وقعتْ. 
       3.0        3.0 --         خالْتي مرة طيْبة. 
       3.0        7.0 --         خت القلم في الطّربيزة. 
       3.0        5.0 --         خت الكفتيرة في النار. 
       3.0        5.0 --         ختمت جوازي للسفر. 
       3.0        6.0 --         خته في الرّكنْ هناك. 
       3.0        7.0 --         ختّ السّماعهْ في ءضانكْ! 
       3.0        7.0 --         ختّ الصندوق في الواطة. 
       3.0        7.0 --         ختّيتْ السّماعهْ في ءضاني. 
       3.0        6.0 --         ختّيتْ طابعة علي الجواب؟ 
       3.0        6.0 --         خدمة المطعم دا كويسة. 
       3.0        5.0 --         خريف السّنة دي كْويّس. 
       3.0        6.0 --         خرْطةْ بيْتو سمْحهْ. 
       3.0        2.0 --         خشا فيلم دور تاني. 
       3.0        7.0 --         خط التلفون شغّال كويّس. 
       3.0        2.0 --         خطيبْها منو؟ 
       3.0        3.0 --         خلاص اتّفقْنا. 
       3.0        7.0 --         خلاصْ جهّزْنا ليْكْ الءوضهْ. 
       3.0        7.0 --         خلاصْ نتْلاقى التقاطعْ. 
       1.0        4.0 --         خلاصْ نمْشي. 
       3.0        5.0 --         خليك دايما رياضي. 
       3.0        6.0 --         خليك صاحي في السواقة! 
       0.0        4.0 --         خليك هنا. 
       3.0        5.0 --         خليك هنْاك ، حءجيك. 
       3.0        5.0 --         خليني ءفكّر شويّة. 
       3.0        3.0 --         خليني ءمْشي معاك. 
       3.0        5.0 --         خلّصنا ءوراق السفر. 
       3.0        3.0 --         خلّي بالكْ كويّس. 
       3.0        2.0 --         خلّيك واقف هنا. 
       0.0        4.0 --         خلّيني ءجي. 
       3.0        5.0 --         خلّيني نسخّنهْ. 
       3.0        5.0 --         خلّيه بطريقته. 
       0.0        4.0 --         دا  شهر ءبْريلْ. 
       0.0        4.0 --         دا ءجْراء عادي. 
       0.0        4.0 --         دا ءعْلان وظيفة. 
       3.0        5.0 --         دا ءكل سوداني ءصْلي. 
       0.0        4.0 --         دا ءلمْ ما محْتملْ. 
       1.0        4.0 --         دا ءمْضا مْنو؟ 
       3.0        5.0 --         دا الدّفاع الْمدني ما الْمطافي. 
       0.0        4.0 --         دا اللابتوب بتاعي. 
       3.0        6.0 --         دا الوقت المحدّد لقيام الطيارة. 
       1.0        4.0 --         دا امتحان الفترة الثانية ؟ 
       3.0        7.0 --         دا انتاجْ  مصْنعْ سكّرْ كنانه. 
       0.0        4.0 --         دا بابْ كبيرْ. 
       3.0        3.0 --         دا بالتّقْويْم الهجْري. 
       0.0        4.0 --         دا بريد مسْتعْجل. 
       3.0        2.0 --         دا برّاد شاى. 
       1.0        4.0 --         دا برْتكانْ سمحْ. 
       0.0        4.0 --         دا بلدْ عربي. 
       3.0        6.0 --         دا بيعْتمدْ على الجّوْ. 
       3.0        3.0 --         دا بيْت ءخْضرْ. 
       0.0        4.0 --         دا بيْت سمحْ. 
       3.0        3.0 --         دا تذْكار ءبراهام ليكولن. 
       3.0        5.0 --         دا تصرّف مسءول جدّاً. 
       3.0        3.0 --         دا تكْليفْ من الْحكومة. 
       0.0        4.0 --         دا تلت السنة. 
       0.0        4.0 --         دا توبْ حريرْ. 
       3.0        5.0 --         دا جهاز ءشعّة. 
       3.0        5.0 --         دا جو فظيعْ خالصْ. 
       3.0        5.0 --         دا حىْ راقي جداً. 
       3.0        6.0 --         دا خضار رخيصْ. 
       1.0        4.0 --         دا خيطْ حريرْ. 
       0.0        4.0 --         دا راجلْ طيّبْ. 
       1.0        4.0 --         دا ربع السنة الءول. 
       3.0        5.0 --         دا زول دمّو خفيف. 
       0.0        4.0 --         دا سءال صعب. 
       0.0        4.0 --         دا سعر معْقول. 
       0.0        4.0 --         دا سعرْ جنوني. 
       3.0        2.0 --         دا سعرْ غالي. 
       0.0        4.0 --         دا سعرْ ما معْقولْ. 
       3.0        5.0 --         دا شغل مظبّط. 
       3.0        3.0 --         دا شكْلهْ مخيفْ. 
       0.0        4.0 --         دا شيْ يحيّرْ. 
       3.0        6.0 --         دا صاحْبي، معْقولْ ءنْساه؟ 
       3.0        4.0 --         دا صحنْ فخّارْ. 
       1.0        4.0 --         دا صداعْ بسيطْ. 
       3.0        2.0 --         دا صيام تطوّع. 
       0.0        4.0 --         دا طالب جديد. 
       3.0        4.0 --         دا طريق حيوي للبلد. 
       3.0        3.0 --         دا طوّالي زعْلان. 
       3.0        5.0 --         دا عرْضْ خاصْ. 
       3.0        3.0 --         دا عشانْ تلوّثْ الموْيهْ. 
       3.0        6.0 --         دا عشانْ نوقّف النّزيفْ. 
       3.0        3.0 --         دا فريقْ كرة السّلة. 
       3.0        3.0 --         دا فستان سهْرة سمحْ. 
       1.0        4.0 --         دا فسْتانْ مسْتوردْ. 
       3.0        6.0 --         دا فصل اللهجة السودانيّة. 
       0.0        4.0 --         دا فنّان سوداني. 
       0.0        4.0 --         دا فنْ راقي. 
       0.0        4.0 --         دا فنْ محلي. 
       3.0        5.0 --         دا قسم العفش الضّايع؟ 
       3.0        7.0 --         دا قسمْ اللّغة العربية. 
       1.0        4.0 --         دا قسْم الباطنيهْ. 
       1.0        4.0 --         دا قسْم الْجراحهْ. 
       1.0        4.0 --         دا قلمْ ءبيضْ. 
       0.0        4.0 --         دا قلمْ بنّي. 
       0.0        4.0 --         دا قلمْ دهبي. 
       3.0        2.0 --         دا قلمْ رصّاصْ. 
       0.0        4.0 --         دا قلمْ. 
       0.0        4.0 --         دا قليل ءدب. 
       0.0        4.0 --         دا قماش ملوّن. 
       1.0        4.0 --         دا قميصْ ءحْمرْ. 
       0.0        4.0 --         دا كتابْ ءسْودْ. 
       3.0        3.0 --         دا كرت تلفون مدْفوع. 
       3.0        4.0 --         دا كرْسي ءصْفرْ. 
       0.0        4.0 --         دا كشكْ جرايدْ. 
       0.0        4.0 --         دا كلامْ مظْبوط. 
       1.0        4.0 --         دا لوْن ءزرقْ. 
       3.0        5.0 --         دا لوْن برْتغالي. 
       1.0        4.0 --         دا محل تءجير عربات. 
       3.0        5.0 --         دا محل تصليخ عربات. 
       3.0        6.0 --         دا محل عطور وءتصالات. 
       1.0        4.0 --         دا محلْ مجوْهراتْ. 
       3.0        4.0 --         دا مخالفْ للْقانونْ. 
       3.0        5.0 --         دا مخطّطْ جيّد. 
       3.0        6.0 --         دا مدرّب النشاط الرياضي. 
       3.0        5.0 --         دا مدير قسم الودايع في البنك. 
       3.0        5.0 --         دا مربّعْ تمنْطاشرْ. 
       3.0        5.0 --         دا مرْكز تسوّق جديد. 
       1.0        4.0 --         دا مظْهرْ خارجي. 
       0.0        4.0 --         دا مقصْ. 
       0.0        4.0 --         دا مكتبنا الرءيسي. 
       0.0        4.0 --         دا مناسبْ جداً. 
       1.0        4.0 --         دا مواطنْ سوداني. 
       3.0        4.0 --         دا موسمْ التّسّوّقْ. 
       3.0        3.0 --         دا موضوعْ حسّاسْ. 
       3.0        7.0 --         دا موْضوعْ بسيْطْ جدّاً. 
       3.0        6.0 --         دا موْضوعْ شخْصي. 
       3.0        7.0 --         دا ودّاكمْ لى ءوضهْ غلطْ. 
       3.0        7.0 --         دا وضْعْ ءمْني خطيْرْ. 
       3.0        5.0 --         دا وضْعْ دقيقْ جداً. 
       3.0        5.0 --         دا ولدْ صغيّرْ. 
       3.0        3.0 --         دا يوم الْمنى. 
       3.0        5.0 --         داير ءحجز سياحيّة. 
       3.0        5.0 --         داير ءرخص الءسْعار. 
       0.0        4.0 --         داير تسوي شنو؟ 
       0.0        4.0 --         داير تعْمل شنو؟ 
       3.0        5.0 --         داير شنو؟عايز شنو؟ 
       3.0        7.0 --         داير لى شقّة مفْروشة. 
       3.0        5.0 --         دايرة لىْ عباية سوْدا. 
       3.0        3.0 --         دايرين بشاكير للحمّام. 
       3.0        5.0 --         دايرين لينْا شويّة ترْفيه. 
       1.0        4.0 --         دايرينْ ءقلامْ حبرْ. 
       3.0        5.0 --         دايرينْ مخدّات وملاياتْ. 
       0.0        4.0 --         دايما بقرا جرايد. 
       1.0        4.0 --         دايْرين رضا الله. 
       1.0        4.0 --         دايْرين ملابسْ تقيلة. 
       3.0        7.0 --         دخلْوه الْعناية الْمركّزة. 
       3.0        5.0 --         دخّل رقم الحجز. 
       3.0        5.0 --         دخّل معْلومات الرحلة. 
       3.0        7.0 --         دخّلوه العنايهْ المركّزه. 
       3.0        5.0 --         درجة الحرارة صفرْ. 
       3.0        5.0 --         درجْة الحرارة  فهرنْهايتْ. 
       3.0        5.0 --         درجْة الحرارة  مءويّة. 
       3.0        5.0 --         درجْة الحرارة حتْزيدْ. 
       3.0        5.0 --         درجْة الحرارة هنا عالية. 
       1.0        4.0 --         درجْة رجْال ءعْمال. 
       3.0        2.0 --         درست في معْهد الدفاع. 
       1.0        4.0 --         درست قانونْ تجاري. 
       3.0        7.0 --         درسْت جغْرافْية السّودان؟ 
       0.0        4.0 --         درسْت محاسبة. 
       3.0        3.0 --         دفعت مقدّمْ  جنيه. 
       3.0        5.0 --         دفعنا جمارك البضاعة! 
       0.0        4.0 --         دفعْت الفاتورة؟ 
       3.0        6.0 --         دفّعوهمْ غرامهْ. 
       0.0        4.0 --         دقّ لينا الرّقْ! 
       0.0        4.0 --         دقّيت ختم. 
       1.0        4.0 --         دقّيْت ليْه تلفون. 
       3.0        7.0 --         دكّانه عنْده يافْطة كبيْرة. 
       3.0        7.0 --         دماغ الءنْسانْ معقّدْ. 
       1.0        4.0 --         دي  سجاّدة ءيرانية . 
       1.0        4.0 --         دي ءاخرْ حبّة. 
       1.0        4.0 --         دي ءجملْ حديقة. 
       3.0        6.0 --         دي ءقلّ درجة حرارة للْيوم. 
       1.0        4.0 --         دي ءمْسية جميلة. 
       3.0        5.0 --         دي ءنبوبة غازْ. 
       3.0        7.0 --         دي ءوراق مهمّهْ خالص. 
       0.0        4.0 --         دي المادّة  في العقدْ. 
       3.0        3.0 --         دي بالذّاتْ بّدْلة سمْحة. 
       0.0        4.0 --         دي بتّ سمْحةْ. 
       3.0        5.0 --         دي بتّ صغيْرة. 
       1.0        4.0 --         دي بردها يْنشّفْ! 
       1.0        4.0 --         دي بوّابة صفْرا. 
       0.0        4.0 --         دي بيعة سمحة. 
       1.0        4.0 --         دي تعليماتْ الدّكتور. 
       3.0        2.0 --         دي جامعة معترف بيها. 
       1.0        4.0 --         دي جامْعة معْتمدة. 
       1.0        4.0 --         دي جبْتها منْ وينْ؟ 
       1.0        4.0 --         دي جيّة قصيرة. 
       3.0        3.0 --         دي حاجة تْخوّفْ. 
       3.0        5.0 --         دي حالة تسْتدْعي الءهْتمامْ. 
       0.0        4.0 --         دي حتّة جميلة. 
       3.0        5.0 --         دي حفْلة خاصّة. 
       0.0        4.0 --         دي حفْلة رايْعة! 
       0.0        4.0 --         دي حقوقْ ناس. 
       3.0        5.0 --         دي حكومة متْشدّدة. 
       3.0        2.0 --         دي حلّة ملوخيّة. 
       0.0        4.0 --         دي دراسة قيّمة. 
       0.0        4.0 --         دي دفاترْ حساباتْ. 
       3.0        5.0 --         دي دفْعة طلّابْ جديدة. 
       3.0        5.0 --         دي دولْ مجاوْرة للسودانْ. 
       1.0        4.0 --         دي دوْريّة المرورْ. 
       3.0        7.0 --         دي سفارة السّودانْ في واشنْطنْ. 
       0.0        4.0 --         دي سلّة قمامة. 
       3.0        5.0 --         دي سينما كولوزيوْم. 
       3.0        5.0 --         دي شجرة خضْرا. 
       1.0        4.0 --         دي شجرة منْقة. 
       3.0        4.0 --         دي شركة كمبيوتر. 
       3.0        7.0 --         دي شرْطةْ مكافحة الْمخدّرات. 
       3.0        7.0 --         دي شقّة فيها تلاتة ءوضْ. 
       0.0        4.0 --         دي شلة ظريفة. 
       3.0        4.0 --         دي شنْطة مدْرسة. 
       3.0        3.0 --         دي صناعة ءيطالية. 
       0.0        4.0 --         دي طالْبة. 
       0.0        4.0 --         دي طنجرة عدس. 
       3.0        5.0 --         دي عربية بنفْسجيّة. 
       0.0        4.0 --         دي عربية بنيّة. 
       1.0        4.0 --         دي عربية بيْضا. 
       0.0        4.0 --         دي عربية حلْوة. 
       0.0        4.0 --         دي عربية حمْرا. 
       2.0        4.0 --         دي عربية زرْقا. 
       0.0        4.0 --         دي عربية سوْدا. 
       0.0        4.0 --         دي عربية قديمةْ. 
       0.0        4.0 --         دي عربية مريحة. 
       3.0        3.0 --         دي عروس البحر الءحمر 
       0.0        4.0 --         دي علامةْ وقوف. 
       0.0        4.0 --         دي علْبةْ كبْريْتْ. 
       1.0        4.0 --         دي عيادة دكْتوْر علي. 
       0.0        4.0 --         دي فتّاحة علب. 
       3.0        5.0 --         دي قرْصةْ بعوضْ. 
       3.0        4.0 --         دي قناة الجّزيرة. 
       3.0        5.0 --         دي لبْسة السرْوال والْعرّاقي. 
       1.0        4.0 --         دي لعْبهْ مسلّيهْ. 
       3.0        7.0 --         دي محطةْ الءذاعة السّودانيّة. 
       1.0        4.0 --         دي مدينة رءيسيّة. 
       1.0        4.0 --         دي مسْءوليّةْ منو؟ 
       0.0        4.0 --         دي مظاهر ساكتْ. 
       0.0        4.0 --         دي ملْيوْن جنيْه. 
       1.0        4.0 --         دي مناظر طبيعية. 
       3.0        5.0 --         دي منْ الصّعب تتْلقي. 
       3.0        5.0 --         دي مواعيد وصول الطيارة. 
       3.0        3.0 --         دي مويهْ سخْنهْ. 
       0.0        4.0 --         دي موْية. 
       1.0        4.0 --         دي نصيحًة الدكتور. 
       0.0        4.0 --         دي هديّة منّي. 
       0.0        4.0 --         دي وحْدة تبْريْد. 
       1.0        4.0 --         دي ولاية كاليفوْرنيا. 
       3.0        4.0 --         ديسمْبرْ شهرْ باردْ. 
       1.0        4.0 --         ديك مكنة صرف. 
       1.0        4.0 --         ديل ءفراد ءسرتي. 
       1.0        4.0 --         ديل طلّاب جداد. 
       3.0        6.0 --         ديلْ بضاعتهمْ ءصْليّة. 
       3.0        6.0 --         ديلْ عصاباتْ بيعْ المخدّرات. 
       3.0        3.0 --         ديلْ محْظوظينْ فازوا. 
       1.0        4.0 --         ديْل حداشرْ عربية. 
       3.0        5.0 --         ديْل خمْسة طلّابْ. 
       0.0        4.0 --         ديْل سبعين ورقة. 
       0.0        4.0 --         ديْل طلّابْ معانا. 
       0.0        4.0 --         ديْل طلّابْ. 
       1.0        4.0 --         ديْل عشْرين عربية. 
       0.0        4.0 --         ذكّرني بعْدينْ. 
       3.0        6.0 --         راجل مزْعج خالصْ. 
       3.0        5.0 --         راجلْ تخين ءصْفرْ. 
       0.0        4.0 --         راجلْ قيافة. 
       0.0        4.0 --         راجيني لشْنو؟ 
       0.0        4.0 --         راحلين ويْن؟ 
       0.0        4.0 --         راسي بيوجعني. 
       1.0        4.0 --         راقدْ في دار الشّفا. 
       3.0        7.0 --         راقدْ في مستشفىْ ابْن سينا. 
       3.0        6.0 --         رايكْ شنو في الموْضوعْ؟ 
       3.0        5.0 --         ربطت حزام الءمان. 
       3.0        6.0 --         ربّنا يحقّقْ ءمْنيته. 
       3.0        6.0 --         رتْبتهْ صغيْرة. 
       0.0        4.0 --         رتْبتهْ عريفْ. 
       0.0        4.0 --         رجعْ البيْت. 
       3.0        4.0 --         رجعْ قبلْ شويّة. 
       0.0        4.0 --         رحلْت وجيتْ. 
       3.0        7.0 --         رحّلوْهمْ لمنطقهْ جديدهْ. 
       1.0        4.0 --         رسلت الجواب  مءمن؟ 
       3.0        5.0 --         رسلْت حوالة لءبوى. 
       0.0        4.0 --         رسوم المطار كم؟ 
       1.0        4.0 --         رسّل  ليه قروش. 
       3.0        3.0 --         رسّل لي الطرد قوّام. 
       3.0        3.0 --         رسّلوا تحْذيْر للنّاسْ. 
       1.0        4.0 --         رطلْ اللّبنْ بيْ كمْ؟ 
       3.0        6.0 --         رطوبة بورسودان شديدة. 
       3.0        5.0 --         رطوْبةْ بورسودان عاليهْ. 
       3.0        5.0 --         رقم الحجز شنو؟ 
       3.0        5.0 --         رقيبْ ءوّلْ في البحْرية. 
       3.0        5.0 --         رقيْص البنات في الْحفْلات. 
       0.0        4.0 --         ركبْت القطرْ. 
       1.0        4.0 --         ركبْت درجة تانْية. 
       3.0        5.0 --         ركّاب الْبصْ بخيْر. 
       3.0        6.0 --         ركّبت القزاز براىْ. 
       3.0        5.0 --         ركّبنا الستاير الجديدة. 
       3.0        3.0 --         ريّح نفْسك ءقْعد. 
       3.0        7.0 --         زرعوا في البيت نجيلة وزهورْ. 
       3.0        5.0 --         زميلي شاركْني في السكنْ. 
       3.0        5.0 --         زميلْتي بتدْرسْ عربي. 
       0.0        4.0 --         زميلْي سافرْ. 
       3.0        5.0 --         زهجْنا منْ القعْدة. 
       3.0        3.0 --         زوْجتي ءسْتاذةْ. 
       3.0        3.0 --         زوْجي في المكْتبْ. 
       1.0        4.0 --         زوْلة طيْبة. 
       1.0        4.0 --         زيْ القمرْ والله. 
       3.0        6.0 --         زيْ ما قالْ ءبوْي حءجي. 
       3.0        3.0 --         زيْت السمْسمْ سمحْ. 
       1.0        4.0 --         سارة طالْبة ذكية. 
       3.0        7.0 --         سافرت بالخطوطْ الءثيوبية. 
       0.0        4.0 --         سافرْ كسلا. 
       3.0        7.0 --         سافرْت بشركةْ الطّيرانْ الْخليْجي. 
       0.0        4.0 --         سافْر عشان يدرس. 
       0.0        4.0 --         ساكنْ جارْنا. 
       0.0        4.0 --         ساكنْ في الثكْنة. 
       1.0        4.0 --         ساكنْ في حي راقي. 
       3.0        7.0 --         ساكنْ في شقة رقمْ سبعطاشرْ. 
       3.0        3.0 --         ساكنْ في عنْابر الجيش. 
       0.0        4.0 --         ساكْتة ليْه؟ 
       0.0        4.0 --         سامع جرس برنْ. 
       1.0        4.0 --         سامع رنّة الْجرس. 
       0.0        4.0 --         سامعْ الرّعدة دي؟ 
       1.0        4.0 --         سامعْ صوتْ قوي. 
       0.0        4.0 --         سامي وقفْ. 
       3.0        5.0 --         سامية جنْدية في البحْرية. 
       2.0        4.0 --         سايق الْعربية وقفْ. 
       3.0        6.0 --         ست الْعربيهْ ما جاتها حاجه. 
       0.0        4.0 --         ستّ البيْت في؟ 
       3.0        5.0 --         سجّلت في القسْم الءدبي. 
       3.0        5.0 --         سخونتة زايْدة. 
       3.0        3.0 --         سراير الفندق كبيرة. 
       0.0        4.0 --         سعر البيع كم؟ 
       1.0        4.0 --         سعر التّذكرة بكم؟ 
       3.0        3.0 --         سعرها تمانين جنيْه. 
       3.0        3.0 --         سقف بيتنا زنكي. 
       1.0        4.0 --         سقفْ بيتنا وقعْ. 
       0.0        4.0 --         سكنْ الثوْرة. 
       3.0        5.0 --         سلامتْكمْ يااخْوانّا. 
       3.0        7.0 --         سلامهْ لاكنْ عربيّتهمْ توتال لوس. 
       3.0        5.0 --         سلامْة النّاس ءهمّ حاجْة. 
       0.0        4.0 --         سلّك المواسيْر. 
       3.0        3.0 --         سلّم نفسه للبوليس. 
       3.0        5.0 --         سمحوا ليْهْ بالدخول. 
       3.0        5.0 --         سمعت نشرة الءخبار. 
       3.0        5.0 --         سمعْت النّشْرة الجوّيّة؟ 
       3.0        5.0 --         سمعْت الْخبرْ في الرّادي. 
       3.0        3.0 --         سمعْت عنّها حاجة؟ 
       1.0        4.0 --         سمعْتو في الءذاعة. 
       0.0        4.0 --         سمعْتْ الرادي. 
