      male     female
      22.0       16.0 --         مہربانی کرکے ایک ہفتہ کے بعد دوبارہ معلوم کریں- 
      22.0       16.0 --         مہربانی کرکے تھانے جاکر اور مقامی جرائم کی رپورٹ درج کروائیں۔ 
      18.0       18.0 --         مہربانی کرکے دوہراہیں۔ 
      18.0       17.0 --         مہربانی کرکے یہ قبول کریں،یہ آپ کاھے؟ 
       3.0        3.0 --         مہلت 
       4.0        6.0 --         مہلک 
       4.0        6.0 --         مہم 
       2.0        3.0 --         مہمان 
       3.0        3.0 --         مہندی 
       4.0        5.0 --         مہنگی 
      25.0       19.0 --         مہھجے آپ کے زخم صاف کرنے ھیں۔ 
      25.0       20.0 --         مہھجے پنسیلین سے الرجی ھے۔ 
      21.0       19.0 --         مہھجے پورے پیسے چائیں 
      25.0       20.0 --         مہھجے کیا ھوا؟ 
       2.0        3.0 --         مہینہ 
       2.0        3.0 --         میدان 
      15.0       17.0 --         میدانی علاقہ 
      21.0       20.0 --         میرا زاتی سامان ھے۔ 
      21.0       20.0 --         میرا سامان کہاں ھے؟ 
      18.0       17.0 --         میرا نام جان ہے۔ 
      25.0       20.0 --         میرا وزن بہتر کلو ھے۔ 
       3.0        3.0 --         میرا، میری 
       5.0        8.0 --         میرا، میری، میرے 
      24.0       19.0 --         میری سرجری کیوں ھو رہی ھے۔ 
      22.0       20.0 --         میری شناختی پٹی گم ھوگئ 
      22.0       16.0 --         میری ملاقات دس بجے ھے۔ 
      21.0       19.0 --         میری میگزین خالی ھے 
      22.0       18.0 --         میری پوزیشن چھ اور انچاس شمال اور پانچ سترہ مغرب ھے۔ 
      22.0       20.0 --         میری گاڑی چلانے کے قابل نیں ھے۔ 
      25.0       20.0 --         میری گردن ٹھیک ھے۔ 
      24.0       20.0 --         میرے آنے تک یہ سب کچھ ھو رہا تھا۔ 
      23.0       19.0 --         میرے خاندان کو کون اطلاع دے گا؟ 
      21.0       20.0 --         میرے ساتھ آو۔ 
      24.0       20.0 --         میرے سوالوں کا جواب ہاں یا نہ میں دینے کی کوشش کریں۔ 
      22.0       16.0 --         میرے پاس اپنی حفاطت کے لیے میری اپنی بندوق ھے۔ 
      21.0       20.0 --         میرے پاس بس یہی ھے 
      21.0       19.0 --         میرے پاس روپے نیں ھیں 
      21.0       20.0 --         میرے پاس کوئی شناختی کارڈ نیں ھے؟ 
      21.0       19.0 --         میرے پاس یہ ہی ھیں۔ 
      22.0       20.0 --         میرے کوئی بچے نہیں ہیں۔ 
       4.0        6.0 --         میز 
      21.0       18.0 --         میزانیہ, بجٹ 
      30.0       34.0 --         میعادی بخار 
       2.0        3.0 --         میلہ 
       2.0        3.0 --         مینار 
      17.0       18.0 --         میٹرک سسٹم 
       8.0        9.0 --         میٹھے 
      21.0       18.0 --         میٹینگ کتنی لمبی تھی؟ 
      12.0       14.0 --         میگزین 
      22.0       16.0 --         میگزین کو اپنی ایم سولہ میں لگاو۔ 
      10.0       10.0 --         میگنشیم 
       6.0        9.0 --         میں 
      25.0       19.0 --         میں آپ کو آٹھانے لگا ھوں۔ 
      21.0       19.0 --         میں آپ کو ایک گھنٹے میں ملتا ھوں۔ 
      22.0       20.0 --         میں آپ کو شناختی پٹی لگاوں گا۔ 
      22.0       20.0 --         میں آپ کی کس سے بات کراتا ھوں جو آپ کی مدد کر سکتا ھے۔ 
      22.0       20.0 --         میں آپ کے صبر کی داد دیتا ھوں۔ 
      18.0       18.0 --         میں اردو بولتا ھوں۔ 
      18.0       18.0 --         میں اردو نہیں بولتا۔ 
      22.0       20.0 --         میں اس نقصان کے بارے میں کس سے بات کر سکتا ھوں؟ 
      21.0       19.0 --         میں افسر ھوں 
      22.0       20.0 --         میں افغانی ھوں 
      18.0       18.0 --         میں انگریزی نیں بولتا۔ 
      22.0       16.0 --         میں اپنا خاندان پیھچے نیں چھوڑ سکتاھوں۔ 
      18.0       17.0 --         میں اپنے ہاتھ کہاں دھو سکتاھوں؟ 
      22.0       16.0 --         میں ایک وقت میں صرف ایک آدمی کی تلاشی لے سکتاھوں۔ 
      21.0       20.0 --         میں بولنے سے انکار کرتا ھوں 
      23.0       19.0 --         میں جہلم سے ارھاھوں۔ 
      22.0       20.0 --         میں حوالدار ھوں 
      25.0       20.0 --         میں خون کو بند کرنے کے لیے پٹی باندھ رہا ھوں۔ 
      21.0       20.0 --         میں سپاہی ھوں 
      22.0       21.0 --         میں صحیح اہلکار سے اس کی تحقیقات کرواں گا۔ 
      21.0       20.0 --         میں صرف یہی کھچہ جانتا ھوں۔ 
      21.0       20.0 --         میں ضبط کرتا ہوں 
      21.0       20.0 --         میں طبی امداد چاہتا ھوں 
      21.0       19.0 --         میں مال لے کر ملتان لے کر جا رھا ھوں۔ 
      18.0       17.0 --         میں معافی چاہتا ھوں۔ 
      22.0       18.0 --         میں نقشہ پڑھنا جانتا ھوں 
      18.0       18.0 --         میں نہیں جانتا۔ 
      18.0       18.0 --         میں نہیں سمجھتا 
      25.0       20.0 --         میں نیں جانتا ھوں کہ میں کہاں ھوں۔ 
      21.0       20.0 --         میں نیہں بتا سکتا 
      22.0       20.0 --         میں نے اس کو کبھی نہیں دیکھا ھے۔ 
      24.0       20.0 --         میں نے بکتربند گاڑی دیکھی۔ 
      24.0       20.0 --         میں نے بہت سے ٹرک دیکھے 
      22.0       20.0 --         میں نے دو جیپں دیکھں۔ 
      21.0       20.0 --         میں نے مزاحمت کاروں کو پہاڑوں پر دیکھا۔ 
      22.0       20.0 --         میں نے کوئی زخمی نیہں دیکھا۔ 
      22.0       20.0 --         میں نے کوئی شہری نہیں دیکھا۔ 
      21.0       20.0 --         میں نے گولا بارود گاوں کے قریب دیکھا۔ 
      18.0       17.0 --         میں ٹھیک ھوں۔ شکریہ اور آپ؟ 
      18.0       17.0 --         میں ٹھیک ھوں۔شکریہ 
      25.0       20.0 --         میں پانچ انگلیاں دیکھ رہا ھوں۔ 
      18.0       18.0 --         میں پنجابی بولتا ھوں۔ 
      22.0       20.0 --         میں پیاساھوں۔ 
      24.0       20.0 --         میں ڈاکڑ ھوں۔ 
      22.0       20.0 --         میں کنوارہ ھوں 
      20.0       20.0 --         میں گاڑی میں کب پٹرول ڈالوں 
       6.0        8.0 --         نئی روش 
      21.0       15.0 --         نئے پیدا ہونے والے بچوں کے مرنے کی شرح 
       2.0        2.0 --         نا 
       3.0        3.0 --         نا بلد 
      11.0       11.0 --         نا خواندہ 
       3.0        3.0 --         نا ممکن 
       2.0        3.0 --         نائی 
       3.0        3.0 --         نائیک 
      10.0       10.0 --         ناامید عوام 
       3.0        3.0 --         نارنجی 
      15.0       17.0 --         نازک حالت 
       4.0        5.0 --         ناشتہ 
       2.0        2.0 --         ناظم 
       4.0        6.0 --         ناظم شہر 
       3.0        3.0 --         نافذ 
       8.0       12.0 --         نافذ کرنا 
      15.0       17.0 --         ناقابلِ تلافی 
       4.0        6.0 --         نالاں ہونا 
       2.0        3.0 --         نالی 
       3.0        3.0 --         نالیاں 
       3.0        3.0 --         نام نہاد 
      12.0       11.0 --         نام کی پٹی 
       2.0        3.0 --         نامور 
       8.0        9.0 --         نان, روٹی 
       2.0        2.0 --         نانا 
       2.0        2.0 --         نانی 
       2.0        2.0 --         ناک 
       3.0        3.0 --         ناک بہنا 
      15.0       17.0 --         ناکارہ ٹیوب ویل 
       2.0        3.0 --         ناکہ 
      12.0       11.0 --         ناگزیر 
       4.0        5.0 --         ناگہانی 
      21.0       18.0 --         ناہموار سطح 
       9.0        9.0 --         نباتات 
      18.0       18.0 --         نبرد آزما ہونا 
       2.0        2.0 --         نبض 
       4.0        5.0 --         نتیجہ 
       2.0        3.0 --         نجی 
       5.0        8.0 --         نجی ادارے 
      13.0       17.0 --         نجی شعبہ 
       2.0        2.0 --         ندی 
       4.0        5.0 --         نرخ 
       2.0        2.0 --         نرس 
      25.0       20.0 --         نرس کہاں ھے؟ 
       2.0        2.0 --         نرم 
       3.0        3.0 --         نرم کرنا 
       4.0        6.0 --         نزد 
       3.0        3.0 --         نسبتاً 
       5.0        8.0 --         نسخہ 
       2.0        3.0 --         نسل 
      21.0       17.0 --         نسل جو کہ ختم ہو گئ ہو 
      13.0       16.0 --         نسوانی نزاکت 
       4.0        6.0 --         نشئی 
       5.0        8.0 --         نشاستہ 
       3.0        3.0 --         نشان 
      12.0       11.0 --         نشاندہی کرنا 
       4.0        5.0 --         نشانہ 
      30.0       34.0 --         نشانہ بازی 
      10.0       10.0 --         نشانہ بنانا 
       3.0        3.0 --         نشر 
       4.0        5.0 --         نشریات 
      18.0       18.0 --         نشست . حلقہ 
      21.0       15.0 --         نشست مخصوص کرانا 
      12.0       14.0 --         نصا ب 
      24.0       28.0 --         نصاب 
      21.0       17.0 --         نصابی سرگرمیاں 
      15.0       17.0 --         نطربندی 
       2.0        2.0 --         نظام 
       8.0        9.0 --         نظام تنفس 
      12.0       11.0 --         نظام کے تحت 
       4.0        4.0 --         نظر 
       4.0        6.0 --         نظر ; بینائی 
       8.0       11.0 --         نظر انداز 
       2.0        3.0 --         نظر ثانی 
       6.0        6.0 --         نظر رکھنا 
       2.0        3.0 --         نظریاتی 
       4.0        6.0 --         نظریہ 
       2.0        2.0 --         نظم 
      11.0       14.0 --         نعرہ لگانا 
       2.0        3.0 --         نغمہ 
       3.0        3.0 --         نفاذ 
       6.0        8.0 --         نفری 
      21.0       18.0 --         نفس، نفوس۔ فرد، افراد 
       5.0        8.0 --         نفسیاتی 
      16.0       18.0 --         نقائص 
      12.0       16.0 --         نقاب پوش 
       3.0        3.0 --         نقد 
      13.0       17.0 --         نقد ادائیگی 
       8.0        9.0 --         نقشہ 
      22.0       18.0 --         نقشے کی علامتیں لیجنڈ کہلاتی ھیں۔ 
      13.0       16.0 --         نقص 
      16.0       18.0 --         نقطہ نظر 
       6.0        6.0 --         نقل 
       5.0        8.0 --         نما ئش 
      21.0       15.0 --         نما ز پڑھنا , دعا کرنا , عبادت کرنا , درخواست کرنا 
      10.0       16.0 --         نمائش 
       4.0        6.0 --         نماز 
       3.0        3.0 --         نمایاں 
       4.0        5.0 --         نمبردار 
       6.0        8.0 --         نمٹا تی 
       4.0        6.0 --         نمٹنا 
       6.0        8.0 --         نمی کا تناسب 
       3.0        3.0 --         ننانوے 
       6.0        9.0 --         نند 
       8.0       10.0 --         نندوئی 
       2.0        2.0 --         نو 
       2.0        3.0 --         نو سو 
       2.0        3.0 --         نواسی 
       2.0        3.0 --         نواں 
      21.0       17.0 --         نوزاٰئیدہ پاکستانی ریاست۔ 
       3.0        3.0 --         نومبر 
       3.0        4.0 --         نوکریاں 
       2.0        3.0 --         نوے 
       8.0        9.0 --         نَقشہ 
       2.0        2.0 --         نَے 
      21.0       17.0 --         نچلا طبقہ 
      24.0       34.0 --         نچوڑ 
      21.0       15.0 --         نچوڑنا ,نچوڑ دو ,نچوڑو 
      26.0       34.0 --         نڈ ر 
       2.0        2.0 --         نژاد 
      21.0       17.0 --         نکا سیٔ آب کا ناقص نظام 
       4.0        5.0 --         نکاح 
       2.0        3.0 --         نکاسی 
      22.0       20.0 --         نگرانی کرنا 
      15.0       17.0 --         نہ صرف 
      12.0       16.0 --         نہ ہونے کے برابر 
       2.0        3.0 --         نہاری 
       2.0        2.0 --         نہر 
       3.0        3.0 --         نہری نظام 
      18.0       17.0 --         نہں شکریہ آپ کا میں نے کھا لیاھے 
      18.0       17.0 --         نہیں 
      18.0       17.0 --         نہیں آپ اند ر نہیں آسکتے۔ 
      21.0       19.0 --         نہیں سرحد بند ھے۔ 
      18.0       17.0 --         نہیں شکریہ۔ 
      25.0       20.0 --         نہیں میری سانس ٹھیک ھے۔ 
      18.0       17.0 --         نہیں یہ غلط ھے 
       4.0        6.0 --         نیا رخ 
       2.0        3.0 --         نیلا 
      21.0       17.0 --         نیوکلیائی طاقت 
       3.0        3.0 --         نیپال 
       3.0        3.0 --         نیپالی 
      22.0       16.0 --         نیچے جھکو۔ 
      22.0       21.0 --         نیں۔ قبائیلی رہنما نے لے لیے۔ 
      22.0       22.0 --         نیں۔ یہ یک طرفہ ھے۔ 
      13.0       16.0 --         و زیر اعلی 
       8.0       10.0 --         وابستہ 
      14.0       16.0 --         وابستہ ہے 
       2.0        3.0 --         وادی 
       3.0        3.0 --         وارث ، وراثت 
       3.0        3.0 --         واردات 
      13.0       16.0 --         واضح خاکہ 
      21.0       18.0 --         وافر مقدار میں پانی 
      10.0       16.0 --         واقع 
      18.0       17.0 --         واقعی 
      12.0       14.0 --         واقف ہونا 
       3.0        3.0 --         والدین 
       4.0        5.0 --         والی بال 
      21.0       16.0 --         واٹر سیوریج بورڈ 
       3.0        3.0 --         واپسی 
       2.0        2.0 --         وبا 
       3.0        4.0 --         وجود 
      36.0       48.0 --         وجود میں آنا 
       4.0        5.0 --         وجوہات 
       2.0        2.0 --         ورثہ 
       2.0        2.0 --         ورثے 
       2.0        3.0 --         وردی 
      11.0       10.0 --         ورزش 
      15.0       17.0 --         ورزش گاہ 
      21.0       17.0 --         وزارت اطلاعات 
      21.0       17.0 --         وزیر اعظم کا عہدہ 
      15.0       17.0 --         وزیر۔ وزرا 
       6.0       10.0 --         وسائل 
      12.0       11.0 --         وسط 
      16.0       18.0 --         وسط ایشا 
      13.0       16.0 --         وسیع تعاون 
      15.0       17.0 --         وسیع خاندان 
      12.0       14.0 --         وصولی 
       2.0        2.0 --         وضو 
      18.0       18.0 --         وفا قی حکو مت 
       5.0        8.0 --         وفاداری 
      38.0       36.0 --         وفاق، وفاقی 
      21.0       18.0 --         وفاقی شرعی عدالت 
      21.0       18.0 --         وفاقی نمائندگی 
      13.0       16.0 --         وفد۔ وفود 
       3.0        3.0 --         وقار 
      12.0       14.0 --         وقت کا تقاضا 
      12.0       17.0 --         وقت کی پابندی 
      24.0       20.0 --         وقت کیا تھا؟ 
      16.0       20.0 --         وقفہ 
      21.0       17.0 --         وقفے وقفے سے 
       3.0        3.0 --         ولیمہ 
      12.0       17.0 --         وٹہ سٹہ 
      30.0       34.0 --         وٹے سٹے 
       4.0        6.0 --         وکیل 
       2.0        2.0 --         وہ 
      22.0       21.0 --         وہ آپ کو پھر سے آپنے ہمراہ رکھیں گے۔ 
      22.0       20.0 --         وہ اردو بولتے تھے۔ 
      22.0       20.0 --         وہ بارودی سرنگیں لگا رہے تھے 
      22.0       22.0 --         وہ بہت دور ھے۔ 
      22.0       20.0 --         وہ جائے حادثہ پر ھے۔ 
      22.0       18.0 --         وہ دریائے راوی ھے۔ 
      22.0       18.0 --         وہ ساحلی جھیل ھے۔ 
      21.0       20.0 --         وہ عمارتوں میں چھپے ھوئے ھیں۔ 
      22.0       18.0 --         وہ مرگلا ھے۔ 
      22.0       18.0 --         وہ منگلا ڈیم ھے۔ 
      25.0       20.0 --         وہ کرو جو میں کہ رہا ھوں۔ 
      22.0       20.0 --         وہ کون سی زبانیں بول رہے تھے۔ 
      21.0       20.0 --         وہ کہاں چھپے ھوئے ہیں؟ 
      22.0       20.0 --         وہ کیا کر رہے تھے؟ 
      16.0       20.0 --         وہ، اُن کا، اُن کی، اُن کے 
      21.0       19.0 --         وہاں رھو۔ 
      22.0       20.0 --         وہاں کتنے لوگ تھے- 
      22.0       18.0 --         وہاں کی زمین کس طرح کی دیکھائی دیتی ھے؟ 
       4.0        6.0 --         وہاں، ادھر 
       3.0        3.0 --         ویرانے 
      19.0       18.0 --         ٹائپ رائٹر 
       5.0        8.0 --         ٹانکے 
       8.0        9.0 --         ٹانگ 
      21.0       15.0 --         ٹرومن ڈاکٹرن۔ہدایت نامہ۔ سیاسی عقیدہ 
      22.0       22.0 --         ٹریفک کےاشاروں کا احترام کریں۔ 
      17.0       18.0 --         ٹریول ایجنٹ 
      12.0       15.0 --         ٹریکٹر 
      12.0       14.0 --         ٹونٹی 
      12.0       14.0 --         ٹوٹنا 
      12.0       16.0 --         ٹوٹکہ 
      12.0       16.0 --         ٹوٹکے 
       4.0        5.0 --         ٹوکا 
       4.0        6.0 --         ٹوکری 
      21.0       18.0 --         ٹھنڈا 
       5.0        8.0 --         ٹھوس 
      15.0       17.0 --         ٹھوڑی 
      16.0       18.0 --         ٹھکانے ، ہدف 
       5.0        8.0 --         ٹھیرنا 
       8.0        9.0 --         ٹھیلہ 
      30.0       35.0 --         ٹھیک 
      21.0       19.0 --         ٹھیکہ دار سڑکوں کی مرمت کا زمہ دار ھے۔ 
      16.0       18.0 --         ٹیبل ٹینس 
      12.0       16.0 --         ٹیلی فون 
       8.0        9.0 --         ٹیلی ویژن 
      18.0       18.0 --         ٹیلی کمیونیکیشن 
       4.0        6.0 --         ٹینس 
      12.0       11.0 --         ٹینِس بال 
      21.0       18.0 --         ٹیڑھے میڑھے 
      21.0       16.0 --         ٹیکسٹائل کی صنعت 
       5.0        8.0 --         ٹیکسی 
      21.0       19.0 --         ٹیکسیاں گنجان آباد علاقے سے مل جاتی ھیں۔ 
       4.0        6.0 --         ٹیکہ 
       3.0        3.0 --         پا لنا 
      12.0       11.0 --         پائیلٹ 
       3.0        4.0 --         پائے 
       4.0        5.0 --         پابندی 
       3.0        3.0 --         پارسی 
       2.0        3.0 --         پارہ 
       4.0        5.0 --         پاسداری 
      12.0       14.0 --         پاسپورٹ 
       4.0        6.0 --         پانچ 
       8.0       11.0 --         پانچ سو 
      12.0       11.0 --         پانچواں 
      22.0       20.0 --         پانی پییں 
      21.0       15.0 --         پانی ڈالنا ,پانی پلانا ,پانی پلاؤ 
       8.0       11.0 --         پانی کا بہاؤ 
      12.0       14.0 --         پانی کا ذخیرہ 
      18.0       17.0 --         پانی کو ابالیں 
      12.0       11.0 --         پانی کی قلت 
      22.0       22.0 --         پانی گندا ھے۔ 
       3.0        3.0 --         پاوں 
       4.0        6.0 --         پاکستانی 
       2.0        3.0 --         پتا 
       3.0        3.0 --         پتلا 
       4.0        5.0 --         پتلون 
       4.0        6.0 --         پتنگ 
       4.0        6.0 --         پتھریلا 
      15.0       17.0 --         پتھریلی زمین 
       2.0        3.0 --         پتہ 
       2.0        3.0 --         پتی 
       5.0        8.0 --         پخت 
       4.0        5.0 --         پذیرائی 
       8.0        8.0 --         پر 
      21.0       18.0 --         پر امن مقاصد 
      21.0       15.0 --         پر رونق جگہ ۔ جگہیں ۔ جگہوں کا۔کی ۔کو 
       4.0        5.0 --         پراندہ 
      16.0       20.0 --         پراٹھا 
      11.0       10.0 --         پراٹھے 
       3.0        3.0 --         پردہ 
      21.0       17.0 --         پردہ ڈالنا 
      21.0       17.0 --         پردہ، حجاب، نقاب 
      16.0       20.0 --         پرسوں 
       8.0        9.0 --         پرواز 
      12.0       14.0 --         پرورش گاہ 
       8.0       11.0 --         پروفیسر 
       4.0        6.0 --         پرچ 
      12.0       11.0 --         پریشان ہونا 
      21.0       17.0 --         پس پشت ڈالنا 
       3.0        4.0 --         پسا ہوا 
      10.0       10.0 --         پسماندگی 
       3.0        3.0 --         پسنی 
       2.0        3.0 --         پسو 
       4.0        6.0 --         پشتو 
       2.0        3.0 --         پل 
      17.0       18.0 --         پلانا۔, پلا ؤ ,پلا دینا 
      13.0       16.0 --         پلہ مچھلی 
      22.0       22.0 --         پم مسلے کو حل کرنے کی کوشش کریں گے۔ 
       8.0        9.0 --         پن بجلی 
       4.0        6.0 --         پناہ دینا 
      13.0       17.0 --         پناہ گزین 
       4.0        6.0 --         پنجاب 
       5.0        8.0 --         پنجابی 
       3.0        5.0 --         پندرہ 
       3.0        3.0 --         پنسِل 
       3.0        3.0 --         پودا 
      12.0       11.0 --         پوست کا پودا 
       8.0        9.0 --         پوشیدہ 
       3.0        3.0 --         پولو 
      12.0       11.0 --         پولیس،سپاہی 
       6.0        6.0 --         پولیو 
       2.0        3.0 --         پونی 
       8.0       10.0 --         پونے دو سو 
      18.0       18.0 --         پونے چھ بجے 
       4.0        6.0 --         پونےدو 
      21.0       17.0 --         پوچھنا ۔ پوچھئے 
      21.0       16.0 --         پٹا خہ ۔ پٹاخے 
       5.0        8.0 --         پٹاری 
       5.0        8.0 --         پٹری 
       8.0        9.0 --         پٹواری 
       8.0        9.0 --         پٹھان 
       5.0        8.0 --         پچاس 
       8.0        9.0 --         پچاسی 
       8.0       11.0 --         پچانوے 
       8.0       10.0 --         پچپن 
      11.0       10.0 --         پچھتانا 
       8.0       11.0 --         پچھتر 
      18.0       18.0 --         پچھلاہفتہ 
       5.0        8.0 --         پچیس 
       8.0       11.0 --         پڑیا 
      12.0       14.0 --         پکوڑے 
       8.0       10.0 --         پکے گاہک 
       8.0        9.0 --         پکےّ گھر 
      12.0       16.0 --         پگڑی 
       8.0        9.0 --         پگھلنا 
       8.0        9.0 --         پھانسی دینا 
      12.0       14.0 --         پھاڑنا 
      52.0       52.0 --         پھر ملیں گے 
       4.0        6.0 --         پھسلنا 
       3.0        3.0 --         پھل 
      12.0       17.0 --         پھلتی پھولتی 
       4.0        6.0 --         پھلوں 
       2.0        3.0 --         پھن 
       5.0        8.0 --         پھولوں 
       8.0        9.0 --         پھوٹ 
       4.0        7.0 --         پھوپھا 
       5.0        8.0 --         پھوپھی 
      15.0       17.0 --         پھوپھی زاد 
      21.0       17.0 --         پھوڑے پھنسیاں 
       8.0        9.0 --         پھٹنا 
       8.0        9.0 --         پھٹی 
      22.0       16.0 --         پھچے رھو۔ 
      22.0       16.0 --         پھچے ہٹو۔ 
      22.0       16.0 --         پھچے ہٹھو اور ہتھیار ڈال دو 
       3.0        3.0 --         پھیلی 
       3.0        3.0 --         پھینک 
      21.0       15.0 --         پھیپھڑ ا، پھیپھڑے، پھیپھڑوں کا، کی 
      11.0       10.0 --         پہاڑ 
      21.0       17.0 --         پہاڑی سلسلے لوں 
      21.0       17.0 --         پہاڑی علاقہ 
       3.0        3.0 --         پہلا 
      18.0       18.0 --         پہلی۔ دوسری۔ تیسری ۔۔۔ بات 
      21.0       20.0 --         پہلے زخمیوں کو امداد دی جائے گی۔ 
       4.0        5.0 --         پیار ہونا 
       3.0        3.0 --         پیالی 
      10.0       10.0 --         پیدائش 
       2.0        3.0 --         پیر 
      21.0       17.0 --         پیر غازی شاہ کا مزار 
      12.0       14.0 --         پیر ۔ فقیر 
      10.0       10.0 --         پیسے نکلوانا 
      12.0       14.0 --         پیش رفت 
       4.0        6.0 --         پیش نظر 
      10.0       10.0 --         پیش کش 
       5.0        8.0 --         پیشاپ 
      12.0       17.0 --         پیشنگوئی 
      19.0       18.0 --         پیشگی ادائیگی 
       4.0        6.0 --         پیشہ 
       4.0        5.0 --         پیشی 
      24.0       32.0 --         پیغمبر;رسول;نبی 
       2.0        3.0 --         پینا 
       4.0        6.0 --         پینتالیس 
       4.0        5.0 --         پینتیس 
       3.0        5.0 --         پینسل 
      12.0       11.0 --         پینسٹھ 
      22.0       22.0 --         پینے کا پانی دریاوں تک کیسے پنچایا جاتا ھے۔ 
       4.0        6.0 --         پیٹ 
       8.0        9.0 --         پیٹھ 
       3.0        3.0 --         پیپ 
      18.0       18.0 --         پیچ لڑا نا 
      12.0       11.0 --         پیچش 
      17.0       18.0 --         پیچھے ہاتھ ہونا 
      17.0       18.0 --         پیچیدہ مسائل 
       8.0       11.0 --         پیڑا 
      12.0       14.0 --         پیڑھی 
       8.0        9.0 --         چا ند رات 
       6.0        8.0 --         چائے 
      12.0       13.0 --         چائے والا 
       8.0       12.0 --         چادر 
       3.0        3.0 --         چار 
       4.0        6.0 --         چار سو 
       8.0       11.0 --         چار گنا 
      22.0       22.0 --         چارپائی 
      18.0       18.0 --         چاقو یا چھری۔ 
       5.0        8.0 --         چالیس 
      12.0       15.0 --         چاند;قمر 
       4.0        6.0 --         چاندی 
       4.0        6.0 --         چاول 
      12.0       11.0 --         چر خی 
      12.0       11.0 --         چراغ جلا نا 
      12.0       11.0 --         چرخی 
       4.0        5.0 --         چرس 
       4.0        6.0 --         چرسی 
      13.0       16.0 --         چرچا ہونا 
      19.0       18.0 --         چشم دید گواہ 
      22.0       17.0 --         چلیں قبائلی علاقے کا نقشہ دیکھتے ھیں۔ 
      21.0       17.0 --         چمچچڑ 
      13.0       16.0 --         چمڑا 
      16.0       18.0 --         چمکدار 
      10.0       16.0 --         چنائی 
      12.0       11.0 --         چنائی کرنا 
      12.0       14.0 --         چنانچہ 
       8.0       10.0 --         چنگیر 
      12.0       11.0 --         چنے کی دال 
      42.0       32.0 --         چو ڑی ۔ چوڑیاں 
       8.0        9.0 --         چوالیس 
       8.0        9.0 --         چوبیس 
       5.0        8.0 --         چوتھا 
       5.0        8.0 --         چودہ 
      15.0       17.0 --         چور چور کرنا 
       5.0        8.0 --         چوراسی 
       8.0        9.0 --         چورانوے 
      11.0       10.0 --         چورنگی 
       4.0        5.0 --         چوری 
       5.0        8.0 --         چولھا 
       4.0        5.0 --         چون 
      12.0       16.0 --         چونا لگانا 
       8.0        9.0 --         چونتیس 
      12.0       17.0 --         چونسٹھ 
       5.0        8.0 --         چونکہ 
      12.0       17.0 --         چونے کا پتھر 
      10.0       10.0 --         چوٹ 
      12.0       11.0 --         چوٹی 
      12.0       16.0 --         چوڑا 
      13.0       16.0 --         چوڑی 
      30.0       34.0 --         چوڑیاں 
       5.0        8.0 --         چوہتر 
       4.0        6.0 --         چَھت 
       5.0        8.0 --         چُولہا 
      12.0       16.0 --         چٹائی 
      16.0       20.0 --         چچا 
       8.0       10.0 --         چچی 
      12.0       16.0 --         چڑیا 
      18.0       18.0 --         چڑیا گھر 
      13.0       16.0 --         چکر کاٹنا 
      16.0       18.0 --         چکن تکہ 
       3.0        4.0 --         چکی 
       3.0        5.0 --         چھ 
       5.0        8.0 --         چھ سو 
       8.0       10.0 --         چھاؤنی 
      12.0       14.0 --         چھاتی ۔ سینہ 
       5.0        8.0 --         چھاونی 
       8.0        9.0 --         چھاپہ 
       8.0       10.0 --         چھاپے 
       8.0        9.0 --         چھبیس 
      21.0       17.0 --         چھت سے گر پڑا 
       8.0        9.0 --         چھتیس 
      12.0       11.0 --         چھلنی کرنا 
       8.0       10.0 --         چھولے 
      21.0       17.0 --         چھوٹا۔ چھوٹی 
      22.0       16.0 --         چھوٹی توپ استعمال کرو کیونکہ اس کی مار چھوٹی ھےاور کم بارود کی ظرورت ھے۔ 
      21.0       17.0 --         چھوٹی چھوٹا 
      20.0       19.0 --         چھوٹے علاقوں میں زیادہ تر لوگ ریڑی کا استعمال کرتے ھیں۔ 
      12.0       11.0 --         چھٹا 
      96.0       90.0 --         چھٹی 
      21.0       19.0 --         چھپ کر گولی چلانے والے سے بچیں 
       8.0        9.0 --         چھپن 
       8.0        9.0 --         چھہتر 
      13.0       17.0 --         چھیاسٹھ 
       5.0        8.0 --         چھیاسی 
       8.0       11.0 --         چھیالیس 
       8.0       10.0 --         چھیانوے 
       4.0        6.0 --         چہرہ 
       3.0        5.0 --         چیرا 
       4.0        5.0 --         چیرنا 
      13.0       16.0 --         چیزیں 
       3.0        4.0 --         چین 
       4.0        5.0 --         چینک 
       8.0       10.0 --         چینی 
      11.0       10.0 --         چیچک 
      21.0       16.0 --         ڈاک والا۔ ڈاکیہ 
      21.0       17.0 --         ڈاکخانہ 
      21.0       18.0 --         ڈاکٹر 
      21.0       15.0 --         ڈاکٹر کے ہاتھ میں شفا ہونا 
      30.0       34.0 --         ڈاکہ 
      18.0       18.0 --         ڈرائیور 
      22.0       21.0 --         ڈراییور کی زمہ داری ھے کہ وہ بوجھ، چین زنجیر اور ٹائر کا دھیان رکھے۔ 
      15.0       17.0 --         ڈسنا 
      42.0       36.0 --         ڈنڈا 
      17.0       18.0 --         ڈوبنا 
      13.0       17.0 --         ڈور 
      21.0       17.0 --         ڈھائی بجے 
      21.0       18.0 --         ڈھائی سو 
      21.0       17.0 --         ڈھائی لاکھ 
      21.0       18.0 --         ڈھانچ 
      17.0       18.0 --         ڈھول 
